domain,rmm_tool,pattern,regex
imperosoftware.com,Impero Connect,imperosoftware.com,^(?:imperosoftware\.com)$
in-freshbots.ai,Freshservice,*.in-freshbots.ai,^(?:.*\.in-freshbots\.ai)$
instances-info.invgate.com,InvGate,instances-info.invgate.com,^(?:instances-info\.invgate\.com)$
instances-list.invgate.com,InvGate,instances-list.invgate.com,^(?:instances-list\.invgate\.com)$
instanthousecall.com,Instant Housecall,*.instanthousecall.com,^(?:.*\.instanthousecall\.com)$
instanthousecall.com,Instant Housecall,instanthousecall.com,^(?:instanthousecall\.com)$
instanthousecall.net,Instant Housecall,*.instanthousecall.net,^(?:.*\.instanthousecall\.net)$
intelliadmin.com,IntelliAdmin Remote Control,*.intelliadmin.com,^(?:.*\.intelliadmin\.com)$
internetid.ru,Remote Manipulator System,*.internetid.ru,^(?:.*\.internetid\.ru)$
internetid.ru,Remote Utilities,*.internetid.ru,^(?:.*\.internetid\.ru)$
invgate.com,InvGate,invgate.com,^(?:invgate\.com)$
invgate.net,InvGate,*.invgate.net,^(?:.*\.invgate\.net)$
invgate.net,InvGate,invgate.net,^(?:invgate\.net)$
iperius-rs.com,Iperius Remote,*.iperius-rs.com,^(?:.*\.iperius-rs\.com)$
iperius.com,Iperius Remote,*.iperius.com,^(?:.*\.iperius\.com)$
iperiusremote.com,Iperius Remote,*.iperiusremote.com,^(?:.*\.iperiusremote\.com)$
iperiusremote.com,Iperius Remote,iperiusremote.com,^(?:iperiusremote\.com)$
islonline.com,ISL Light,islonline.com,^(?:islonline\.com)$
islonline.com,ISL Online,*.islonline.com,^(?:.*\.islonline\.com)$
islonline.net,Barracuda,*.islonline.net,^(?:.*\.islonline\.net)$
islonline.net,ISL Online,*.islonline.net,^(?:.*\.islonline\.net)$
isodownload.baramundi.com,baramundi Management Suite,isodownload.baramundi.com,^(?:isodownload\.baramundi\.com)$
itagent.com,Duet Display,*.itagent.com,^(?:.*\.itagent\.com)$
itagent.com,Duet Display,itagent.com,^(?:itagent\.com)$
itsm-us1.comodo.com,Comodo RMM,*.itsm-us1.comodo.com,^(?:.*\.itsm-us1\.comodo\.com)$
itsm-us1.comodo.com,Itarian,*.itsm-us1.comodo.com,^(?:.*\.itsm-us1\.comodo\.com)$
itsupport247.net,ITSupport247 (ConnectWise),*.itsupport247.net,^(?:.*\.itsupport247\.net)$
